Title,Framework,Hook Score,Why
"Graphic Design in 2026 — The Tools Every Pro Is Switching To","(Niche) in (Current or upcoming year) — The (Entities) Every Pro Is Switching To","+404","Timeliness – Dropping in the current year does a great job of letting the audience know this is relevant right now, and this is an especially powerful strategy at the turn of the year. Desire – This creator’s audience loves tools. Curiosity – This opens a loop and makes you want to know which tools they’re talking about."
"5 Boundaries Men MUST Set Early or She’ll Walk All Over You","5 (Entities) (Specific Audience) MUST (Activity) Early or (Problem will occur)","+441","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Fear – The fear of being walked all over does a great job of getting people to click. Urgency – The fact that these boundaries need to be set early brings some urgency to watch this video asap."
"The ONLY Faceless Niches You Should Try in 2026","The ONLY (Entities) You Should Try in (Upcoming or current year)","+634","Scarcity – The word “ONLY” adds a constraint and scarcity and makes these niches way more interesting and valuable. Timeliness – Dropping “in 2026” in the beginning of the year is a great way to get people to click because “2026” is on everybody’s mind right now. It also lets you know that this video is relevant right now. Desire – This creator’s audience loves learning about new faceless niches."
"7 Minutes Only… Do This Every Morning","7 Minutes Only… Do This Every (Specific moment)","+1792","Time Frame – The time frame of “7 minutes” makes this feel more interesting and tangible. Desire – The time frame of “7 minutes only” plus the big promise in the thumbnail text team up to give you the feeling of getting a lot for a little in this video. Moment – Telling people to do something at a specific time makes it more tangible and interesting."
"3 Ways Homeowners Are Quietly Beating Property Taxes Right Now","3 Ways (Specific Audience) Are Quietly Beating (Problem) Right Now","+499","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Desire – This creator’s audience would love to beat property taxes. Curiosity – “Quietly” makes you feel like you’re getting in on a secret. Specific Audience – By calling out “Homeowners” he makes it clear who this video is for."
"I Built A Gaming Setup Using Only The $1 Store!","I Built A (Cool thing) Using Only (Constraint)!","+571","Constraint – Building a gaming setup is cool, but when you add a constraint, like “Using Only The $1 Store”, it makes it way more interesting."
"Everyone Laughed At His “Useless” Tunnel — Until The Blizzard Hit","Everyone Laughed At His “Useless” (Creation or possession) — Until (Problem)","+2756","Fear & Status – Social status is one of the most important things for us, and people laughing at us is the last thing we want. Curiosity – This builds curiosity in two ways: It starts a story, but doesn’t finish it, so you have to click to see what happened.



There’s a hint of contrast because apparently his “Useless” tunnel wasn’t so useless after all. Editor’s note: Many people want to know what’s working *now* on YouTube… But this title was inspired by an ad that was published in 1926, literally 100 years ago: “They Laughed When I Sat Down At The Piano – But When I Started to Play!”"
"How Old Money Raises Kids.. 9 Rules You Won’t see on Social Media","How Old Money (Activity).. 9 Rules You Won’t see on Social Media","+17","Authority – “Old Money” brings some authority here because they’re successful. List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Secret – “You Won’t see on Social Media” makes you feel like these rules are a little bit secretive."
"You’re Not Behind (Yet): How to Learn AI in 17 Minutes","You’re Not Behind (Yet): How to Learn [Subject] in [Short time frame]","+419","Fear – This addresses a big fear the audience might have that they’re behind. Desire – This creator’s audience would love to learn AI. Time Frame – The time frame of “17 Minutes” does two things: It adds to the desire because 17 minutes isn’t that long to learn something exciting and valuable.



It makes the video more tangible and specific (and, therefore, more interesting)."
"5 Tricks That End a Traffic Stop Fast (Lawyer Explains)","5 Tricks That End [Problem] Fast ([Authority figure] Explains)","+521","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Desire – Most people would love to end a traffic stop fast. Speed – People love speed and dropping in “Fast” satisfies that desire. Authority – Dropping in “(Lawyer Explains)” adds some trust and credibility to this video."
"Blindsided at Work? Use This One Sentence to Take Your Power Back","(Problem)? Use This One Sentence to (Solve problem)","+6631","Pain Point – This starts with a problem or pain point to grab the right audience’s attention and interest. Desire – People who are blindsided likely want to take their power back. Curiosity – This opens a loop and makes you want to know what this one sentence is. Scarcity – “This One Sentence” brings more focus on the sentence and makes it more valuable and interesting."
"Many people don’t know the secret of the screws located here.","Many people don’t know the secret of (Specific entity).","+7107","Curiosity – This builds curiosity by talking about a secret."
"it sucks, but it’ll skyrocket your energy levels…","it sucks, but it’ll (Achieve goal)…","+434","Negativity – Starting this off with “it sucks” adds some tension and fear and grabs the audience’s attention. Curiosity – This builds curiosity in two ways: It opens a loop and makes you wonder what method he’s talking about.



The contrast between “it sucks” and “it’ll skyrocket your energy levels” also builds curiosity. Desire – Most people would love to skyrocket their energy levels. Believability – By admitting that “it sucks”, it makes the bold claim of skyrocketing your energy levels more believable."
"You’re gonna be a full-time creator in 2026, here’s how","You’re gonna (Achieve goal) in (Upcoming year), here’s how","+491","Desire – This creator’s audience would love to be a full-time creator. Timeliness – This was published in December of 2025, while 2026 is on everybody’s mind."
"This One Scene Will Change How You Sell Forever","This One (Entity) Will Change How You (Activity) Forever","+1695","Curiosity – This title builds curiosity in two ways: It opens a loop and makes you want to know what this scene is.



It also opens a loop with “Change How You Sell Forever” because you don’t know what or how your selling will change. Scarcity – By focusing on just a single scene, it increases your interest in the scene. Desire – This creator’s audience would love to get better at selling."
"Megapixels DON’T Matter… But THIS Does","(Common, seemingly important thing) DON’T Matter… But THIS Does","+1958","Curiosity – This title builds curiosity in two ways: It’s counterintuitive that megapixels don’t matter.



It opens a loop and makes you wonder what “THIS” is."
"The Secret To Growing $100,000 On A Small Farm (No Tractor Needed!)","The Secret To [Achieving a big goal] [With constraint] ([Biggest excuse eliminated])","+550","Curiosity – This title builds curiosity in two ways: Dropping the word “Secret” is a simple way to build curiosity about your topic.



There’s contrast between “$100,000” (a big gain) and “Small farm”. Desire – This creator’s audience would love to grow $100,000 on their farm. Refute objection – This title refutes two objections: “Small Farm” refutes the objection that you need a big farm to grow $100,000.



Many people might think a tractor is too big and expensive, so “(No Tractor Needed!)” resolves that."
